num_expediente,fecha,hora,localizacion,cod_distrito,distrito,tipo_accidente,estado_meteorológico,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga,peaton_involucrado,vehiculos_involucrados,lesividad,nivel_lesividad
2025S000056,2025-01-01,00:49:00,CALL. LOPEZ DE HOYOS / CALL. ROS DE OLANO,5,CHAMARTÍN,Colisión fronto-lateral,Despejado,442966,4477385,false,false,false,"Ciclomotor, Turismo",Asistencia sanitaria sólo en el lugar del accidente,1
2025S000057,2025-01-01,02:20:00,GTA. RIO ZANCARA / CALL. ARROYO DE POZUELO,9,MONCLOA-ARAVACA,Colisión lateral,Despejado,433911,4478290,false,false,false,Turismo,Desconocido,5
2025S000058,2025-01-01,03:18:00,CALL. GALLUR,10,LATINA,Choque contra obstáculo fijo,Despejado,437019,4471984,true,false,false,Turismo,Sin asistencia sanitaria,1
2025S000060,2025-01-01,04:00:00,CALL. LUCHANA / CALL. EGUILAZ,7,CHAMBERÍ,Colisión lateral,Despejado,440567,4475699,false,false,false,"Maquinaria de obras, Turismo",Desconocido,5
2025S000061,2025-01-01,03:30:00,AVDA. PABLO IGLESIAS,6,TETUÁN,Colisión fronto-lateral,,439772,4477959,false,false,false,Turismo,Desconocido,5
2025S000063,2025-01-01,06:58:00,CALL. PRINCESA,1,CENTRO,Alcance,Despejado,439427,4475473,true,false,false,"Motocicleta hasta 125cc, Turismo",Sin asistencia sanitaria,1
2025S000064,2025-01-01,07:10:00,PASEO. ARTILLEROS / CALL. CALAHORRA,19,VICÁLVARO,Choque contra obstáculo fijo,,448291,4473199,true,false,false,Turismo,Desconocido,5
2025S000065,2025-01-01,07:30:00,CALL. CAMINO DE LOS VINATEROS / CALL. CORREGIDOR DIEGO DE VALDERRABANO,14,MORATALAZ,Colisión fronto-lateral,Despejado,444161,4473548,false,false,false,Turismo,Desconocido,5
2025S000069,2025-01-01,07:50:00,CALL. MIGUEL PALACIOS / AVDA. PEÑA PRIETA,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,443545,4472565,false,false,false,"Motocicleta hasta 125cc, Turismo",Desconocido,5
2025S000070,2025-01-01,08:05:00,AVDA. ALBUFERA / CALL. CANTALAPIEDRA,13,PUENTE DE VALLECAS,Alcance,Despejado,444319,4471444,false,false,false,"Furgoneta, Turismo",Desconocido,5
2025S000072,2025-01-01,07:30:00,CALL. EMBALSE DE NAVACERRADA,18,VILLA DE VALLECAS,Alcance,Despejado,449221,4467966,false,false,false,Turismo,Desconocido,5
2025S000074,2025-01-01,10:00:00,CALL. MATEO INURRIA,5,CHAMARTÍN,Otro,Despejado,441824,4479788,false,false,false,Turismo,Desconocido,5
2025S000076,2025-01-01,08:00:00,CALL. MISTERIOS,15,CIUDAD LINEAL,Colisión fronto-lateral,Despejado,445740,4476666,true,false,false,Turismo,Sin asistencia sanitaria,1
2025S000079,2025-01-01,09:20:00,CALL. LUIS MARTINEZ FEDUCHI,16,HORTALEZA,Choque contra obstáculo fijo,,445608,4483449,false,false,false,Turismo,Sin asistencia sanitaria,1
2025S000081,2025-01-01,12:00:00,CALL. JUSTA GARCIA,12,USERA,Colisión lateral,,439770,4470485,true,false,false,Turismo,Desconocido,5
2025S000082,2025-01-01,12:30:00,AVDA. NICETO ALCALA ZAMORA / CALL. JULIO CASARES,16,HORTALEZA,Choque contra obstáculo fijo,Despejado,445225,4482368,false,false,false,Turismo,Desconocido,5
2025S000085,2025-01-01,14:40:00,CALL. SANTUARIO / CALL. CRISTO DE LEPANTO,12,USERA,Alcance,Despejado,440626,4470360,false,false,false,"Motocicleta hasta 125cc, Turismo",Ingreso superior a 24 horas,1
2025S000086,2025-01-01,14:50:00,PLAZA. ALSACIA,20,SAN BLAS-CANILLEJAS,Choque contra obstáculo fijo,Despejado,447046,4474268,false,true,false,Turismo,Sin asistencia sanitaria,1
2025S000087,2025-01-01,15:00:00,GTA. OSWALDO PAYA SARDIÑAS / CALL. LAS PEDROÑERAS,16,HORTALEZA,Colisión fronto-lateral,Despejado,446111,4479587,false,false,false,Turismo,Desconocido,1
2025S000088,2025-01-01,17:10:00,CALL. OCA / CALL. GENERAL RICARDOS,11,CARABANCHEL,Otro,Despejado,437920,4471163,false,false,false,"Bicicleta, Turismo",Asistencia sanitaria sólo en el lugar del accidente,1
2025S000089,2025-01-01,17:15:00,CALL. DOCTOR CASTELO,3,RETIRO,Colisión lateral,,443056,4474604,false,false,false,Turismo,Desconocido,5
2025S000095,2025-01-01,19:50:00,CALL. ISABELITA USERA,12,USERA,Alcance,Despejado,439909,4470633,false,false,false,Turismo,Sin asistencia sanitaria,1
2025S000097,2025-01-01,19:45:00,CALL. GENEROSIDAD / CALL. VILLAFUERTE,17,VILLAVERDE,Caída,Despejado,441441,4467570,false,false,false,Bicicleta,Asistencia sanitaria sólo en el lugar del accidente,3
2025S000099,2025-01-01,18:52:00,CALL. CARDENAL SILICEO,5,CHAMARTÍN,Choque contra obstáculo fijo,Despejado,443148,4477296,false,false,false,Turismo,Desconocido,5
2025S000100,2025-01-01,14:30:00,CALL. FRANCISCO VILLAESPESA / CALL. LAGO CONSTANZA,15,CIUDAD LINEAL,Colisión lateral,Despejado,445215,4475591,false,false,false,Turismo,Sin asistencia sanitaria,1
2025S000101,2025-01-01,19:35:00,CALL. VALLE DE MENA / CALL. CANDIDO MATEOS,8,FUENCARRAL-EL PARDO,Colisión lateral,Despejado,439059,4480288,false,false,false,Turismo,Desconocido,5
2025S000102,2025-01-01,19:50:00,CALL. SAMANIEGO / CALL. ARRASTARIA,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Despejado,450387,4477438,false,false,false,"Motocicleta > 125cc, Turismo",Asistencia sanitaria sólo en el lugar del accidente,1
2025S000103,2025-01-01,20:20:00,CALL. PUERTO ALTO / CALL. SIERRA DEL CASTILLO,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,443283,4471608,false,false,false,Turismo,Desconocido,5
2025S000104,2025-01-01,20:00:00,AVDA. CANILLEJAS A VICALVARO / CALL. ALBAIDA,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Despejado,448086,4476110,false,false,false,"Todo terreno, Turismo",Sin asistencia sanitaria,1
2025S000105,2025-01-01,20:11:00,CALL. PAUL GUINARD,9,MONCLOA-ARAVACA,Choque contra obstáculo fijo,Despejado,438089,4477031,false,false,false,Turismo,Sin asistencia sanitaria,1
2025S000106,2025-01-01,20:50:00,AVDA. VALLADOLID,9,MONCLOA-ARAVACA,Alcance,Despejado,438329,4475310,false,false,false,Turismo,Sin asistencia sanitaria,1
2025S000107,2025-01-01,20:15:00,AVDA. MARQUES DE CORBERA / CALL. ALCALDE SAINZ DE BARANDA,15,CIUDAD LINEAL,Alcance,Despejado,444063,4474740,false,false,false,"Turismo, VMU eléctrico",Sin asistencia sanitaria,1
2025S000108,2025-01-01,21:45:00,RONDA. VALENCIA,1,CENTRO,Colisión fronto-lateral,,440600,4473022,false,false,false,"Autobús, Turismo",Sin asistencia sanitaria,1
2025S000109,2025-01-01,20:30:00,CALL. PONZANO / CALL. RIOS ROSAS,7,CHAMBERÍ,Alcance,,440717,4477078,false,false,false,Turismo,Desconocido,5
2025S000110,2025-01-01,22:08:00,CALL. MENDEZ ALVARO / AVDA. ENTREVIAS,13,PUENTE DE VALLECAS,Colisión fronto-lateral,Despejado,442678,4471458,false,false,false,"Motocicleta hasta 125cc, Turismo",Atención en urgencias sin posterior ingreso,1
2025S000111,2025-01-01,23:20:00,AUTOV. M-23 / AUTOV. M-40,14,MORATALAZ,Choque contra obstáculo fijo,Despejado,447727,4474083,false,false,false,Turismo,Desconocido,5
2025S000112,2025-01-01,23:39:00,CALL. PINTOR EL GRECO / CALL. MARTIN FIERRO,9,MONCLOA-ARAVACA,Caída,Despejado,437840,4476711,false,false,false,Ciclomotor,Atención en urgencias sin posterior ingreso,6
2025S000115,2025-01-01,23:35:00,CALL. ALEJANDRO MORAN,11,CARABANCHEL,Choque contra obstáculo fijo,Despejado,437769,4470951,false,false,false,Turismo,Desconocido,5
2025S000207,2025-01-01,13:20:00,CALL. SERRALLO / CALL. BERRUGUETE,6,TETUÁN,Choque contra obstáculo fijo,Despejado,440227,4479010,false,false,false,Turismo,Sin asistencia sanitaria,1
2025S000216,2025-01-01,12:30:00,CALL. AYERBE / CALL. PARROCO MAXIMO MARTINEZ DE CASTRO,21,BARAJAS,Colisión fronto-lateral,Despejado,450832,4479940,false,false,false,Turismo,Desconocido,5
2025S000161,2025-01-02,04:55:00,CALL. MARTINEZ VILLERGAS / CALL. VERDAGUER Y GARCIA,15,CIUDAD LINEAL,Choque contra obstáculo fijo,Despejado,444585,4476880,false,false,false,Turismo,Desconocido,5
2025S000164,2025-01-02,06:45:00,CALL. SAN JAIME / CALL. SIERRA DE GUADALUPE,18,VILLA DE VALLECAS,Caída,Despejado,447014,4470279,false,false,false,Motocicleta hasta 125cc,Asistencia sanitaria sólo en el lugar del accidente,3
2025S000165,2025-01-02,07:16:00,AVDA. MENENDEZ PELAYO / AVDA. NAZARET,3,RETIRO,Caída,Despejado,442629,4473641,false,false,false,Motocicleta > 125cc,Ingreso inferior o igual a 24 horas,7
2025S000197,2025-01-02,07:40:00,AUTOV. A-4,13,PUENTE DE VALLECAS,Colisión fronto-lateral,Despejado,441964,4469781,false,false,false,"Furgoneta, Turismo",Desconocido,5
2025S000202,2025-01-02,09:30:00,AVDA. ALBUFERA / CALL. SIERRA DE JAVALAMBRE,13,PUENTE DE VALLECAS,Alcance,Despejado,443329,4472101,false,false,false,"Bicicleta, Turismo",Asistencia sanitaria sólo en el lugar del accidente,1
